_time,tipo_aviso,grau_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-12 10:06:41.077000+00:00,""TM, TM, TM"",""PP, PP, P"",33.51499939,55.78076172,983.300293,,0.0,5.462555885,4.833675385"
"2024-02-12 10:16:52.274000+00:00,""TM, TM, TM"",""PP, PP, P"",33.43000031,51.72460938,983.2749023,,7.315135956,5.465201378,4.835213661"
"2024-02-12 10:27:06.271000+00:00,""TM, TM, TM"",""PP, PP, P"",33.55500031,54.77783203,983.3171387,,0.0,5.496540546,4.840768814"
"2024-02-12 10:37:17.420000+00:00,""TM, TM, TM"",""PP, PP, P"",34.35499954,52.89550781,983.2510986,,0.0,5.54029274,4.845811844"
"2024-02-12 10:47:29.148000+00:00,""TM, TM, TM"",""PP, PP, P"",33.94000244,51.62597656,983.0664063,,13.30024719,5.573870659,4.850256443"
"2024-02-12 10:57:43.350000+00:00,""TM, TM, TM"",""PP, PP, P"",34.33499908,54.67041016,982.9765625,,0.0,6.061660767,5.302735329"
"2024-02-12 11:07:54.367000+00:00,""TM, TM, TM"",""PP, PP, P"",34.72999954,51.05322266,982.8740234,,0.0,6.545176983,5.776837349"
"2024-02-12 11:18:05.619000+00:00,""TM, TM, TM"",""PP, PP, P"",35.31999969,49.58984375,982.7849731,,3.990073919,6.517907619,5.728290558"
"2024-02-12 11:28:20.029000+00:00,""TM, TM, TM"",""PP, PP, P"",35.52500153,46.08886719,982.7116089,,0.0,6.566544533,5.769316673"
"2024-02-12 11:38:31.358000+00:00,""TM, TM, TM"",""PP, PP, P"",35.10499954,47.43408203,982.631958,,0.0,6.555148602,5.77188015"
"2024-02-12 11:48:42.395000+00:00,""TM, TM, TM"",""PP, PP, P"",35.70999908,48.83544922,982.489502,,3.990073919,6.572853088,5.79282093"
"2024-02-12 11:58:56.253000+00:00,""TM, TM, TM"",""PP, PP, P"",35.80000305,47.49853516,982.4143066,,0.0,6.608669281,5.809829235"
"2024-02-12 12:09:07.733000+00:00,""TM, TM, TM"",""PP, PP, P"",37.34500122,45.12255859,982.2853394,,0.0,6.446275711,5.658376217"
"2024-02-12 12:19:18.765000+00:00,""TM, TM, TM"",""PP, PP, P"",36.20999908,43.75097656,982.1342773,,19.9503727,6.56532383,5.777606964"
"2024-02-12 12:29:32.286000+00:00,""TM, TM, TM"",""PP, PP, P"",36.38500214,44.203125,982.0338135,,0.0,6.591575146,5.801965714"
"2024-02-12 12:39:43.488000+00:00,""TM, TM, TM"",""PP, PP, P"",36.50499725,42.84179688,981.9119873,,0.0,6.566544533,5.783418655"
"2024-02-12 12:49:54.558000+00:00,""TM, TM, TM"",""PP, PP, P"",37.47000122,42.78564453,981.7974854,,3.325061798,6.529507637,5.735726357"
"2024-02-12 13:00:08.344000+00:00,""TM, TM, TM"",""PP, PP, P"",37.13999939,45.06787109,981.7283936,,0.0,6.570004463,5.760256767"
"2024-02-12 13:10:19.339000+00:00,""TM, TM, TM"",""PP, PP, P"",36.49499893,43.62158203,981.5789795,,3.990073919,6.628815651,5.841281891"
"2024-02-12 13:20:30.284000+00:00,""TM, TM, TM"",""PP, PP, P"",36.72000122,43.60302734,981.4419556,,19.95036888,6.626984119,5.836837769"
"2024-02-12 13:30:44.263000+00:00,""TM, TM, TM"",""PP, PP, P"",37.18499756,43.45214844,981.2573242,,4.655086517,6.640007973,5.854187965"
"2024-02-12 13:40:55.501000+00:00,""TM, TM, TM"",""PP, PP, P"",37.62000275,41.74267578,981.1618652,,24.60545731,6.537444115,5.74025631"
"2024-02-12 13:51:06.439000+00:00,""TM, TM, TM"",""PP, PP, P"",37.58499908,45.04199219,981.0822754,,0.0,6.627187729,5.812222481"
"2024-02-12 14:01:20.219000+00:00,""TM, TM, TM"",""PP, PP, P"",37.07500076,42.31494141,980.9604492,,0.0,6.644485474,5.844444275"
