_time,tipos_aviso,graus_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-11 12:20:42.922000+00:00,""TM"",""PP"",34.79499817,41.79541016,985.1379395,,9.975186348,6.640211105,5.855897903"
"2024-02-11 12:30:57.306000+00:00,""TM"",""PP"",35.58499908,42.54296875,985.09375,,3.325061798,6.577736855,5.815128326"
"2024-02-11 12:41:08.541000+00:00,""TM"",""PP"",35.19000244,40.49755859,984.935791,,3.325061798,6.61477375,5.813674927"
"2024-02-11 12:51:19.775000+00:00,""TM"",""PP"",35.39500046,40.06982422,984.7987061,,21.28039551,6.625762939,5.832478523"
"2024-02-11 13:01:33.546000+00:00,""TM"",""PP"",35.04000092,40.45507813,984.7677002,,0.0,6.696377754,5.886922836"
"2024-02-11 13:11:44.906000+00:00,""TM"",""PP"",35.52000046,40.47412109,984.6815796,,0.0,6.613146305,5.830085754"
"2024-02-11 13:21:56.706000+00:00,""TM"",""PP"",35.70500183,40.21923828,984.5599976,,3.325061798,6.562067032,5.796068192"
"2024-02-11 13:32:10.563000+00:00,""TM"",""PP"",35.875,41.52929688,984.4919434,,0.0,6.56389904,5.789743423"
"2024-02-11 13:42:21.681000+00:00,""TM"",""PP"",36.65000153,38.89697266,984.4276123,,0.0,6.525844574,5.733333588"
"2024-02-11 13:52:33.357000+00:00,""TM"",""PP"",35.44499969,40.17333984,984.3286743,,23.94044685,6.691697121,5.884871483"
"2024-02-11 14:02:47.737000+00:00,""TM"",""PP"",36.50499725,41.47021484,984.2907715,,0.0,6.516687393,5.719572544"
"2024-02-11 14:12:58.741000+00:00,""TM"",""PP"",35.91500092,40.30761719,984.2406006,,7.315135956,6.600528717,5.789999962"
"2024-02-11 14:23:09.833000+00:00,""TM"",""PP"",35.73500061,41.54003906,984.114563,,9.975186348,6.624745369,5.815812111"
"2024-02-11 14:33:23.490000+00:00,""TM"",""PP"",35.71500015,47.09912109,983.9571533,,7.980147839,6.626984596,5.822478294"
"2024-02-11 14:43:34.104000+00:00,""TM"",""PP"",35.78499985,49.63916016,983.8619385,,0.0,6.639601707,5.838461399"
"2024-02-11 14:53:44.890000+00:00,""TM"",""PP"",36.21500015,47.91943359,983.7546387,,9.310173035,6.575498581,5.787521362"
