_time,tipo_aviso,grau_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-10 09:59:18.907000+00:00,""TM"",""PP"",30.15999985,62.79443359,987.1638184,,3.325061798,5.443630219,4.83042717"
"2024-02-10 10:09:30.982000+00:00,""TM"",""PP"",30.41500092,60.40136719,987.1628418,,0.0,5.481277943,4.834102631"
"2024-02-10 10:19:43.017000+00:00,""TM"",""PP"",30.43999863,59.50195313,987.185791,,31.25558281,5.502849579,4.83905983"
"2024-02-10 10:29:56.635000+00:00,""TM"",""PP"",30.84500122,58.296875,987.114624,,7.980147839,5.515059471,4.840769291"
"2024-02-10 10:40:07.521000+00:00,""TM"",""PP"",31.15500069,57.31787109,987.1418457,,15.96029758,5.526658058,4.846153736"
"2024-02-10 10:50:18.293000+00:00,""TM"",""PP"",31.11999893,55.91113281,987.034668,,27.9305191,6.105006218,5.390684128"
"2024-02-10 11:00:31.978000+00:00,""TM"",""PP"",31.20999908,57.17626953,987.0170898,,3.990073919,6.057590485,5.402649879"
"2024-02-10 11:10:44.028000+00:00,""TM"",""PP"",31.72500038,57.99804688,987.0131836,,3.990073919,6.142857075,5.401025772"
"2024-02-10 11:20:56.035000+00:00,""TM"",""PP"",31.93999863,52.93505859,986.9840088,,11.97022152,6.729141235,5.953931808"
"2024-02-10 11:31:09.670000+00:00,""TM"",""PP"",32.66999817,51.89160156,986.874939,,0.0,6.621896744,5.848461628"
"2024-02-10 11:41:20.749000+00:00,""TM"",""PP"",32.76000214,51.39306641,986.8203125,,17.29032326,6.64936924,5.88179493"
"2024-02-10 11:51:31.710000+00:00,""TM"",""PP"",33.125,49.28857422,986.7835083,,0.0,6.670329571,5.911367416"
"2024-02-10 12:01:46.158000+00:00,""TM"",""PP"",32.78499985,50.47509766,986.6868896,,3.990073919,6.816849709,6.041709423"
"2024-02-10 12:11:57.768000+00:00,""TM"",""PP"",32.79999924,49.43164063,986.5447388,,19.28535843,6.796906471,6.027692318"
"2024-02-10 12:22:08.830000+00:00,""TM"",""PP"",33.29000092,48.02783203,986.4821777,,0.0,6.087708473,5.40179491"
"2024-02-10 12:32:22.404000+00:00,""TM"",""PP"",33.45999908,45.99560547,986.2908936,,0.0,6.753764629,5.977692604"
"2024-02-10 12:42:33.538000+00:00,""TM"",""PP"",33.69999695,46.38769531,986.2839966,,18.62034607,6.758852005,5.983077049"
"2024-02-10 12:52:43.870000+00:00,""TM"",""PP"",33.40000153,45.74853516,986.1031494,,0.0,6.181725979,5.484957218"
"2024-02-10 13:02:59.100000+00:00,""TM"",""PP"",34.08499908,44.77490234,985.9468994,,19.28535843,6.572853088,5.807094097"
"2024-02-10 13:13:10.273000+00:00,""TM"",""PP"",33.86999893,44.71435547,985.9289551,,28.59553146,6.804639816,6.031025887"
"2024-02-10 13:23:22.319000+00:00,""TM"",""PP"",34.66000366,43.35498047,985.8062744,,3.990073919,6.722629547,5.930940151"
"2024-02-10 13:33:36.063000+00:00,""TM"",""PP"",33.52500153,53.82275391,985.7021484,,21.94540787,6.792836666,6.01478672"
"2024-02-10 13:43:47.004000+00:00,""TM"",""PP"",33.16500092,59.46337891,985.5386963,,22.61042023,6.791412354,6.019145012"
"2024-02-10 13:53:58.032000+00:00,""TM"",""PP"",33.07499695,59.02148438,985.5149536,,3.325061798,6.16707325,5.439145088"
"2024-02-10 14:04:11.410000+00:00,""TM"",""PP"",32.02999878,62.59814453,985.4049683,,19.28535843,6.906186581,6.147179604"
"2024-02-10 14:14:22.233000+00:00,""TM"",""PP"",32.125,62.15869141,985.3156738,,25.93548203,6.933251858,6.161709785"
"2024-02-10 14:24:32.957000+00:00,""TM"",""PP"",32.22999954,63.76074219,985.2668457,,16.62530899,6.866503716,6.10794878"
"2024-02-10 14:34:47.654000+00:00,""TM"",""PP"",31.80500031,64.14013672,985.2055664,,43.89081955,6.922059536,6.172991276"
"2024-02-10 14:44:58.504000+00:00,""TM"",""PP"",31.56500053,65.328125,985.0561523,,42.56079102,6.93711853,6.191025734"
"2024-02-10 14:55:09.232000+00:00,""TM"",""PP"",31.64500046,66.13037109,985.0657959,,10.6401968,6.920024395,6.168803215"
"2024-02-10 15:05:23.353000+00:00,""TM"",""PP"",31.89500046,64.76708984,984.8898926,,7.315135956,6.814814568,6.07290554"
"2024-02-10 15:15:34.365000+00:00,""TM"",""PP"",31.25500107,65.31298828,984.8637695,,38.57071686,6.868742466,6.107606888"
"2024-02-10 15:25:45.380000+00:00,""TM"",""PP"",31.10000038,66.984375,984.8220825,,41.89577866,6.926129341,6.152649403"
"2024-02-10 15:35:59.495000+00:00,""TM"",""PP"",31.27999878,66.27050781,984.7202148,,22.61042213,6.898860455,6.134530067"
"2024-02-10 15:46:10.418000+00:00,""TM"",""PP"",31.04000092,66.74267578,984.6766357,,27.26550674,6.917989731,6.180512905"
"2024-02-10 15:56:21.388000+00:00,""TM"",""PP"",30.85000038,67.41210938,984.6611938,,6.650123596,6.965608597,6.217948914"
"2024-02-10 16:06:35.512000+00:00,""TM"",""PP"",30.97500038,67.40185547,984.5036621,,10.64019775,6.917175293,6.177607059"
"2024-02-10 16:16:46.065000+00:00,""TM"",""PP"",30.70499992,67.90722656,984.3586426,,3.325061798,6.938950062,6.211538315"
"2024-02-10 16:26:56.888000+00:00,""TM"",""PP"",30.81999969,67.63476563,984.2912598,,41.89577484,6.866910934,6.145213604"
